Body Regions|A01
Uncaria|B01.875.800.575.912.250.456.937.909
Cat's Claw|B01.875.800.575.912.250.456.937.909.500
Geraniaceae|B01.875.800.575.912.250.462
Geranium|B01.875.800.575.912.250.462.500
Pelargonium|B01.875.800.575.912.250.462.750
Hamamelidaceae|B01.875.800.575.912.250.475
Hamamelis|B01.875.800.575.912.250.475.500
Liquidambar|B01.875.800.575.912.250.475.750
Hippocrateaceae|B01.875.800.575.912.250.517
Hydrophyllaceae|B01.875.800.575.912.250.531
Krameriaceae|B01.875.800.575.912.250.572
Lamiales|B01.875.800.575.912.250.583
Acanthaceae|B01.875.800.575.912.250.583.040
Andrographis|B01.875.800.575.912.250.583.040.044
Andrographis paniculata|B01.875.800.575.912.250.583.040.044.500
Avicennia|B01.875.800.575.912.250.583.040.522
Justicia|B01.875.800.575.912.250.583.040.650
Bignoniaceae|B01.875.800.575.912.250.583.080
Tabebuia|B01.875.800.575.912.250.583.080.500
Calceolariaceae|B01.875.800.575.912.250.583.190
Craterostigma|B01.875.800.575.912.250.583.300
Lamiaceae|B01.875.800.575.912.250.583.520
Agastache|B01.875.800.575.912.250.583.520.049
Ajuga|B01.875.800.575.912.250.583.520.051
Ballota|B01.875.800.575.912.250.583.520.075
Callicarpa|B01.875.800.575.912.250.583.520.098
Clerodendrum|B01.875.800.575.912.250.583.520.121
Coleus|B01.875.800.575.912.250.583.520.166
Hedeoma|B01.875.800.575.912.250.583.520.231
Hyptis|B01.875.800.575.912.250.583.520.297
Hyssopus Plant|B01.875.800.575.912.250.583.520.330
Isodon|B01.875.800.575.912.250.583.520.362
Lavandula|B01.875.800.575.912.250.583.520.428
Leonurus|B01.875.800.575.912.250.583.520.446
Lycopus|B01.875.800.575.912.250.583.520.455
Marrubium|B01.875.800.575.912.250.583.520.465
Melissa|B01.875.800.575.912.250.583.520.474
Mentha|B01.875.800.575.912.250.583.520.483
Mentha piperita|B01.875.800.575.912.250.583.520.483.444
Mentha pulegium|B01.875.800.575.912.250.583.520.483.500
Mentha spicata|B01.875.800.575.912.250.583.520.483.750
Monarda|B01.875.800.575.912.250.583.520.510
Nepeta|B01.875.800.575.912.250.583.520.538
Ocimum|B01.875.800.575.912.250.583.520.647
Ocimum basilicum|B01.875.800.575.912.250.583.520.647.500
Ocimum sanctum|B01.875.800.575.912.250.583.520.647.750
Origanum|B01.875.800.575.912.250.583.520.702
Orthosiphon|B01.875.800.575.912.250.583.520.729
Perilla|B01.875.800.575.912.250.583.520.743
Perilla frutescens|B01.875.800.575.912.250.583.520.743.500
Phlomis|B01.875.800.575.912.250.583.520.750
Plectranthus|B01.875.800.575.912.250.583.520.753
Pogostemon|B01.875.800.575.912.250.583.520.754
Prunella|B01.875.800.575.912.250.583.520.755
Rosmarinus|B01.875.800.575.912.250.583.520.757
Salvia|B01.875.800.575.912.250.583.520.922
Salvia hispanica|B01.875.800.575.912.250.583.520.922.375
Salvia miltiorrhiza|B01.875.800.575.912.250.583.520.922.750
Salvia officinalis|B01.875.800.575.912.250.583.520.922.770
Satureja|B01.875.800.575.912.250.583.520.935
Scutellaria|B01.875.800.575.912.250.583.520.942
Scutellaria baicalensis|B01.875.800.575.912.250.583.520.942.500
Sideritis|B01.875.800.575.912.250.583.520.945
Stachys|B01.875.800.575.912.250.583.520.947
Teucrium|B01.875.800.575.912.250.583.520.948
Thymus Plant|B01.875.800.575.912.250.583.520.974
Vitex|B01.875.800.575.912.250.583.520.987
Mimulus|B01.875.800.575.912.250.583.580
Oleaceae|B01.875.800.575.912.250.583.640
Forsythia|B01.875.800.575.912.250.583.640.333
Fraxinus|B01.875.800.575.912.250.583.640.374
Jasminum|B01.875.800.575.912.250.583.640.416
Ligustrum|B01.875.800.575.912.250.583.640.499
Olea|B01.875.800.575.912.250.583.640.666
Syringa|B01.875.800.575.912.250.583.640.833
Orobanchaceae|B01.875.800.575.912.250.583.670
Cistanche|B01.875.800.575.912.250.583.670.175
Euphrasia|B01.875.800.575.912.250.583.670.270
Orobanche|B01.875.800.575.912.250.583.670.670
Pedicularis|B01.875.800.575.912.250.583.670.690
Striga|B01.875.800.575.912.250.583.670.875
Pedaliaceae|B01.875.800.575.912.250.583.690
Harpagophytum|B01.875.800.575.912.250.583.690.500
Sesamum|B01.875.800.575.912.250.583.690.750
Plantaginaceae|B01.875.800.575.912.250.583.700
Antirrhinum|B01.875.800.575.912.250.583.700.067
Bacopa|B01.875.800.575.912.250.583.700.080
Digitalis|B01.875.800.575.912.250.583.700.265
Linaria|B01.875.800.575.912.250.583.700.530
Penstemon|B01.875.800.575.912.250.583.700.680
Picrorhiza|B01.875.800.575.912.250.583.700.690
Plantago|B01.875.800.575.912.250.583.700.700
Scoparia|B01.875.800.575.912.250.583.700.850
Veronica|B01.875.800.575.912.250.583.700.925
Rehmannia|B01.875.800.575.912.250.583.750
Scrophulariaceae|B01.875.800.575.912.250.583.800
Buddleja|B01.875.800.575.912.250.583.800.124
Myoporum|B01.875.800.575.912.250.583.800.490
Scrophularia|B01.875.800.575.912.250.583.800.855
Verbascum|B01.875.800.575.912.250.583.800.899
Verbenaceae|B01.875.800.575.912.250.583.990
Lantana|B01.875.800.575.912.250.583.990.411
Lippia|B01.875.800.575.912.250.583.990.433
Verbena|B01.875.800.575.912.250.583.990.855
Laurales|B01.875.800.575.912.250.595
Calycanthaceae|B01.875.800.575.912.250.595.200
Hernandiaceae|B01.875.800.575.912.250.595.300
Lauraceae|B01.875.800.575.912.250.595.400
Cinnamomum|B01.875.800.575.912.250.595.400.149
Cinnamomum aromaticum|B01.875.800.575.912.250.595.400.149.124
Cinnamomum camphora|B01.875.800.575.912.250.595.400.149.249
Cinnamomum zeylanicum|B01.875.800.575.912.250.595.400.149.500
Cryptocarya|B01.875.800.575.912.250.595.400.177
Laurus|B01.875.800.575.912.250.595.400.399
Lindera|B01.875.800.575.912.250.595.400.524
Litsea|B01.875.800.575.912.250.595.400.555
Ocotea|B01.875.800.575.912.250.595.400.587
Persea|B01.875.800.575.912.250.595.400.650
Sassafras|B01.875.800.575.912.250.595.400.737
Umbellularia|B01.875.800.575.912.250.595.400.825
Monimiaceae|B01.875.800.575.912.250.595.600
Peumus|B01.875.800.575.912.250.595.600.500
Lilianae|B01.875.800.575.912.250.618
Alismatales|B01.875.800.575.912.250.618.050
Aceraceae|B01.875.800.575.912.250.618.050.500
Alismataceae|B01.875.800.575.912.250.618.050.625
Alisma|B01.875.800.575.912.250.618.050.625.044
Sagittaria|B01.875.800.575.912.250.618.050.625.777
Araceae|B01.875.800.575.912.250.618.050.750
Alocasia|B01.875.800.575.912.250.618.050.750.066
Amorphophallus|B01.875.800.575.912.250.618.050.750.077
Arisaema|B01.875.800.575.912.250.618.050.750.088
Arum|B01.875.800.575.912.250.618.050.750.109
Calla Plant|B01.875.800.575.912.250.618.050.750.177
Colocasia|B01.875.800.575.912.250.618.050.750.199
Cyrtosperma|B01.875.800.575.912.250.618.050.750.211
Philodendron|B01.875.800.575.912.250.618.050.750.488
Pinellia|B01.875.800.575.912.250.618.050.750.500
Xanthosoma|B01.875.800.575.912.250.618.050.750.944
Zantedeschia|B01.875.800.575.912.250.618.050.750.972
Hydrocharitaceae|B01.875.800.575.912.250.618.050.875
Potamogetonaceae|B01.875.800.575.912.250.618.050.937
Zosteraceae|B01.875.800.575.912.250.618.050.968
Asparagales|B01.875.800.575.912.250.618.100
Amaryllidaceae|B01.875.800.575.912.250.618.100.050
Allium|B01.875.800.575.912.250.618.100.050.060
Chive|B01.875.800.575.912.250.618.100.050.060.149
Garlic|B01.875.800.575.912.250.618.100.050.060.300
Onions|B01.875.800.575.912.250.618.100.050.060.600
Shallots|B01.875.800.575.912.250.618.100.050.060.800
Crinum|B01.875.800.575.912.250.618.100.050.178
Galanthus|B01.875.800.575.912.250.618.100.050.295
Lycoris|B01.875.800.575.912.250.618.100.050.530
Narcissus|B01.875.800.575.912.250.618.100.050.600
Asparagaceae|B01.875.800.575.912.250.618.100.060
Agave|B01.875.800.575.912.250.618.100.060.032
Anemarrhena|B01.875.800.575.912.250.618.100.060.048
Asparagus Plant|B01.875.800.575.912.250.618.100.060.063
Camassia|B01.875.800.575.912.250.618.100.060.125
Convallaria|B01.875.800.575.912.250.618.100.060.188
Cordyline|B01.875.800.575.912.250.618.100.060.195
Dracaena|B01.875.800.575.912.250.618.100.060.250
Drimia|B01.875.800.575.912.250.618.100.060.313
Hosta|B01.875.800.575.912.250.618.100.060.375
Hyacinthus|B01.875.800.575.912.250.618.100.060.400
Liriope Plant|B01.875.800.575.912.250.618.100.060.500
Maianthemum|B01.875.800.575.912.250.618.100.060.560
Ophiopogon|B01.875.800.575.912.250.618.100.060.600
Polygonatum|B01.875.800.575.912.250.618.100.060.650
Ruscus|B01.875.800.575.912.250.618.100.060.725
Sansevieria|B01.875.800.575.912.250.618.100.060.800
Scilla|B01.875.800.575.912.250.618.100.060.810
Yucca|B01.875.800.575.912.250.618.100.060.980
Hypoxidaceae|B01.875.800.575.912.250.618.100.230
Curculigo|B01.875.800.575.912.250.618.100.230.190
Hypoxis|B01.875.800.575.912.250.618.100.230.395
Iridaceae|B01.875.800.575.912.250.618.100.400
Crocus|B01.875.800.575.912.250.618.100.400.500
Iris Plant|B01.875.800.575.912.250.618.100.400.750
Orchidaceae|B01.875.800.575.912.250.618.100.640
Dendrobium|B01.875.800.575.912.250.618.100.640.222
Gastrodia|B01.875.800.575.912.250.618.100.640.500
Vanilla|B01.875.800.575.912.250.618.100.640.888
Asphodelaceae|B01.875.800.575.912.250.618.100.970
Aloe|B01.875.800.575.912.250.618.100.970.500
Hemerocallis|B01.875.800.575.912.250.618.100.970.750
Liliales|B01.875.800.575.912.250.618.875
Alstroemeria|B01.875.800.575.912.250.618.875.088
Colchicaceae|B01.875.800.575.912.250.618.875.175
Colchicum|B01.875.800.575.912.250.618.875.175.170
Corsiaceae|B01.875.800.575.912.250.618.875.180
Liliaceae|B01.875.800.575.912.250.618.875.500
Fritillaria|B01.875.800.575.912.250.618.875.500.313
Lilium|B01.875.800.575.912.250.618.875.500.500
Ornithogalum|B01.875.800.575.912.250.618.875.500.593
Tulipa|B01.875.800.575.912.250.618.875.500.786
Melanthiaceae|B01.875.800.575.912.250.618.875.625
Trillium|B01.875.800.575.912.250.618.875.625.860
Veratrum|B01.875.800.575.912.250.618.875.625.920
Zigadenus|B01.875.800.575.912.250.618.875.625.960
Smilacaceae|B01.875.800.575.912.250.618.875.750
Smilax|B01.875.800.575.912.250.618.875.750.500
Zingiberales|B01.875.800.575.912.250.618.937
Costus|B01.875.800.575.912.250.618.937.124
Heliconiaceae|B01.875.800.575.912.250.618.937.323
Marantaceae|B01.875.800.575.912.250.618.937.522
Musaceae|B01.875.800.575.912.250.618.937.555
Musa|B01.875.800.575.912.250.618.937.555.500
Strelitziaceae|B01.875.800.575.912.250.618.937.727
Zingiberaceae|B01.875.800.575.912.250.618.937.900
Alpinia|B01.875.800.575.912.250.618.937.900.033
Amomum|B01.875.800.575.912.250.618.937.900.099
Curcuma|B01.875.800.575.912.250.618.937.900.166
Elettaria|B01.875.800.575.912.250.618.937.900.333
Zingiber officinale|B01.875.800.575.912.250.618.937.900.444
Magnoliaceae|B01.875.800.575.912.250.685
Liriodendron|B01.875.800.575.912.250.685.249
Magnolia|B01.875.800.575.912.250.685.500
Melastomataceae|B01.875.800.575.912.250.707
Meliaceae|B01.875.800.575.912.250.715
Aglaia|B01.875.800.575.912.250.715.061
Azadirachta|B01.875.800.575.912.250.715.124
Cedrela|B01.875.800.575.912.250.715.249
Melia|B01.875.800.575.912.250.715.500
Melia azedarach|B01.875.800.575.912.250.715.500.500
Toona|B01.875.800.575.912.250.715.750
Menispermaceae|B01.875.800.575.912.250.725
Cissampelos|B01.875.800.575.912.250.725.111
Cocculus|B01.875.800.575.912.250.725.124
Cyclea|B01.875.800.575.912.250.725.249
Menispermum|B01.875.800.575.912.250.725.500
Sinomenium|B01.875.800.575.912.250.725.625
Stephania|B01.875.800.575.912.250.725.750
Stephania tetrandra|B01.875.800.575.912.250.725.750.500
Tinospora|B01.875.800.575.912.250.725.875
Mistletoe|B01.875.800.575.912.250.735
Loranthaceae|B01.875.800.575.912.250.735.249
Viscaceae|B01.875.800.575.912.250.735.888
Moringa|B01.875.800.575.912.250.752
Moringa oleifera|B01.875.800.575.912.250.752.500
Myoporaceae|B01.875.800.575.912.250.756
Eremophila Plant|B01.875.800.575.912.250.756.249
Myristicaceae|B01.875.800.575.912.250.765
Myristica|B01.875.800.575.912.250.765.500
Myrtaceae|B01.875.800.575.912.250.773
Eucalyptus|B01.875.800.575.912.250.773.366
Eugenia|B01.875.800.575.912.250.773.374
Feijoa|B01.875.800.575.912.250.773.522
Kunzea|B01.875.800.575.912.250.773.649
Leptospermum|B01.875.800.575.912.250.773.713
Melaleuca|B01.875.800.575.912.250.773.745
Myrtus|B01.875.800.575.912.250.773.761
Pimenta|B01.875.800.575.912.250.773.777
Psidium|B01.875.800.575.912.250.773.888
Syzygium|B01.875.800.575.912.250.773.900
Nelumbonaceae|B01.875.800.575.912.250.774
Nelumbo|B01.875.800.575.912.250.774.500
Nymphaeaceae|B01.875.800.575.912.250.776
Nuphar|B01.875.800.575.912.250.776.488
Nymphaea|B01.875.800.575.912.250.776.500
Nyssaceae|B01.875.800.575.912.250.778
Camptotheca|B01.875.800.575.912.250.778.188
Nyssa|B01.875.800.575.912.250.778.594
Ochnaceae|B01.875.800.575.912.250.779
Olacaceae|B01.875.800.575.912.250.780
Onagraceae|B01.875.800.575.912.250.786
Clarkia|B01.875.800.575.912.250.786.222
Epilobium|B01.875.800.575.912.250.786.416
Oenothera|B01.875.800.575.912.250.786.611
Oenothera biennis|B01.875.800.575.912.250.786.611.500
Oxalidaceae|B01.875.800.575.912.250.789
Averrhoa|B01.875.800.575.912.250.789.500
Paeonia|B01.875.800.575.912.250.791
Pandanaceae|B01.875.800.575.912.250.792
Passifloraceae|B01.875.800.575.912.250.803
Passiflora|B01.875.800.575.912.250.803.500
Turnera|B01.875.800.575.912.250.803.750
Piperaceae|B01.875.800.575.912.250.812
Peperomia|B01.875.800.575.912.250.812.332
Piper|B01.875.800.575.912.250.812.666
Kava|B01.875.800.575.912.250.812.666.249
Piper betle|B01.875.800.575.912.250.812.666.374
Piper nigrum|B01.875.800.575.912.250.812.666.500
Poaceae|B01.875.800.575.912.250.822
Aegilops|B01.875.800.575.912.250.822.017
Agropyron|B01.875.800.575.912.250.822.033
Agrostis|B01.875.800.575.912.250.822.044
Andropogon|B01.875.800.575.912.250.822.055
Avena|B01.875.800.575.912.250.822.060
Bambusa|B01.875.800.575.912.250.822.066
Brachiaria|B01.875.800.575.912.250.822.071
Brachypodium|B01.875.800.575.912.250.822.072
Bromus|B01.875.800.575.912.250.822.077
Cenchrus|B01.875.800.575.912.250.822.151
Chrysopogon|B01.875.800.575.912.250.822.180
Coix|B01.875.800.575.912.250.822.227
Cymbopogon|B01.875.800.575.912.250.822.266
Cynodon|B01.875.800.575.912.250.822.288
Dactylis|B01.875.800.575.912.250.822.299
Digitaria|B01.875.800.575.912.250.822.311
Echinochloa|B01.875.800.575.912.250.822.322
Eleusine|B01.875.800.575.912.250.822.333
Elymus|B01.875.800.575.912.250.822.344
Eragrostis|B01.875.800.575.912.250.822.355
Festuca|B01.875.800.575.912.250.822.427
Holcus|B01.875.800.575.912.250.822.463
Hordeum|B01.875.800.575.912.250.822.481
Lolium|B01.875.800.575.912.250.822.500
Melinis repens|B01.875.800.575.912.250.822.558
Millets|B01.875.800.575.912.250.822.587
Oryza|B01.875.800.575.912.250.822.616
Panicum|B01.875.800.575.912.250.822.680
Paspalum|B01.875.800.575.912.250.822.744
Pennisetum|B01.875.800.575.912.250.822.755
Phalaris|B01.875.800.575.912.250.822.777
Phleum|B01.875.800.575.912.250.822.788
Poa|B01.875.800.575.912.250.822.793
Saccharum|B01.875.800.575.912.250.822.835
Sasa|B01.875.800.575.912.250.822.844
Secale|B01.875.800.575.912.250.822.857
Setaria Plant|B01.875.800.575.912.250.822.871
Sorghum|B01.875.800.575.912.250.822.894
Triticale|B01.875.800.575.912.250.822.906
Triticum|B01.875.800.575.912.250.822.918
Zea mays|B01.875.800.575.912.250.822.966
Polygonaceae|B01.875.800.575.912.250.825
Eriogonum|B01.875.800.575.912.250.825.306
Fagopyrum|B01.875.800.575.912.250.825.333
Fallopia|B01.875.800.575.912.250.825.359
Fallopia japonica|B01.875.800.575.912.250.825.359.500
Fallopia multiflora|B01.875.800.575.912.250.825.359.590
Polygonum|B01.875.800.575.912.250.825.437
Reynoutria|B01.875.800.575.912.250.825.569
Rheum|B01.875.800.575.912.250.825.700
Rumex|B01.875.800.575.912.250.825.850
Pontederiaceae|B01.875.800.575.912.250.827
Eichhornia|B01.875.800.575.912.250.827.500
Primula|B01.875.800.575.912.250.828
Proteaceae|B01.875.800.575.912.250.831
Macadamia|B01.875.800.575.912.250.831.500
Pyrolaceae|B01.875.800.575.912.250.835
Ranunculales|B01.875.800.575.912.250.836
Papaveraceae|B01.875.800.575.912.250.836.500
Argemone|B01.875.800.575.912.250.836.500.124
Chelidonium|B01.875.800.575.912.250.836.500.249
Chelidonium majus|B01.875.800.575.912.250.836.500.249.500
Corydalis|B01.875.800.575.912.250.836.500.312
Dicentra|B01.875.800.575.912.250.836.500.343
Eschscholzia|B01.875.800.575.912.250.836.500.374
Fumaria|B01.875.800.575.912.250.836.500.437
Fumariaceae|B01.875.800.575.912.250.836.500.469
Papaver|B01.875.800.575.912.250.836.500.500
Sanguinaria|B01.875.800.575.912.250.836.500.750
Ranunculaceae|B01.875.800.575.912.250.836.750
Aconitum|B01.875.800.575.912.250.836.750.022
Actaea|B01.875.800.575.912.250.836.750.033
Adonis|B01.875.800.575.912.250.836.750.036
Anemone|B01.875.800.575.912.250.836.750.077
Aquilegia|B01.875.800.575.912.250.836.750.088
Cimicifuga|B01.875.800.575.912.250.836.750.182
Clematis|B01.875.800.575.912.250.836.750.205
Coptis|B01.875.800.575.912.250.836.750.229
Coptis chinensis|B01.875.800.575.912.250.836.750.229.500
Delphinium|B01.875.800.575.912.250.836.750.277
Helleborus|B01.875.800.575.912.250.836.750.337
Hydrastis|B01.875.800.575.912.250.836.750.397
Nigella|B01.875.800.575.912.250.836.750.518
Nigella damascena|B01.875.800.575.912.250.836.750.518.500
Nigella sativa|B01.875.800.575.912.250.836.750.518.750
Pulsatilla|B01.875.800.575.912.250.836.750.666
Ranunculus|B01.875.800.575.912.250.836.750.733
Semiaquilegia|B01.875.800.575.912.250.836.750.766
Thalictrum|B01.875.800.575.912.250.836.750.883
Xanthorhiza|B01.875.800.575.912.250.836.750.941
Rosanae|B01.875.800.575.912.250.859
Calophyllum|B01.875.800.575.912.250.859.250
Celastrales|B01.875.800.575.912.250.859.500
Celastraceae|B01.875.800.575.912.250.859.500.750
Catha|B01.875.800.575.912.250.859.500.750.155
Celastrus|B01.875.800.575.912.250.859.500.750.199
Euonymus|B01.875.800.575.912.250.859.500.750.366
Maytenus|B01.875.800.575.912.250.859.500.750.577
Salacia|B01.875.800.575.912.250.859.500.750.682
Tripterygium|B01.875.800.575.912.250.859.500.750.788
Clusiaceae|B01.875.800.575.912.250.859.625
Clusia|B01.875.800.575.912.250.859.625.249
Garcinia|B01.875.800.575.912.250.859.625.333
Garcinia cambogia|B01.875.800.575.912.250.859.625.333.200
Garcinia kola|B01.875.800.575.912.250.859.625.333.400
Garcinia mangostana|B01.875.800.575.912.250.859.625.333.600
Hypericum|B01.875.800.575.912.250.859.625.500
Mammea|B01.875.800.575.912.250.859.625.750
Dipterocarpaceae|B01.875.800.575.912.250.859.688
Fagales|B01.875.800.575.912.250.859.750
Betulaceae|B01.875.800.575.912.250.859.750.200
Alnus|B01.875.800.575.912.250.859.750.200.500
Betula|B01.875.800.575.912.250.859.750.200.750
Corylus|B01.875.800.575.912.250.859.750.200.875
Fagaceae|B01.875.800.575.912.250.859.750.300
Fagus|B01.875.800.575.912.250.859.750.300.249
Quercus|B01.875.800.575.912.250.859.750.300.500
Juglandaceae|B01.875.800.575.912.250.859.750.500
Carya|B01.875.800.575.912.250.859.750.500.249
Juglans|B01.875.800.575.912.250.859.750.500.500
Myricaceae|B01.875.800.575.912.250.859.750.700
Myrica|B01.875.800.575.912.250.859.750.700.500
Malpighiales|B01.875.800.575.912.250.859.797
Euphorbiaceae|B01.875.800.575.912.250.859.797.438
Acalypha|B01.875.800.575.912.250.859.797.438.038
Aleurites|B01.875.800.575.912.250.859.797.438.077
Croton|B01.875.800.575.912.250.859.797.438.199
Euphorbia|B01.875.800.575.912.250.859.797.438.333
Hevea|B01.875.800.575.912.250.859.797.438.399
Hippomane|B01.875.800.575.912.250.859.797.438.461
Jatropha|B01.875.800.575.912.250.859.797.438.488
Mallotus Plant|B01.875.800.575.912.250.859.797.438.505
Manihot|B01.875.800.575.912.250.859.797.438.535
Phyllanthus|B01.875.800.575.912.250.859.797.438.622
Phyllanthus emblica|B01.875.800.575.912.250.859.797.438.622.500
Ricinus|B01.875.800.575.912.250.859.797.438.650
Ricinus communis|B01.875.800.575.912.250.859.797.438.650.300
Sapium|B01.875.800.575.912.250.859.797.438.737
Securinega|B01.875.800.575.912.250.859.797.438.781
Suregada|B01.875.800.575.912.250.859.797.438.825
Linaceae|B01.875.800.575.912.250.859.797.620
Flax|B01.875.800.575.912.250.859.797.620.500
Malpighiaceae|B01.875.800.575.912.250.859.797.690
Banisteriopsis|B01.875.800.575.912.250.859.797.690.099
Galphimia|B01.875.800.575.912.250.859.797.690.355
Rhizophoraceae|B01.875.800.575.912.250.859.797.750
Salicaceae|B01.875.800.575.912.250.859.797.875
Casearia|B01.875.800.575.912.250.859.797.875.250
Flacourtia|B01.875.800.575.912.250.859.797.875.450
Populus|B01.875.800.575.912.250.859.797.875.453
Ryania|B01.875.800.575.912.250.859.797.875.455
Salix|B01.875.800.575.912.250.859.797.875.833
Violaceae|B01.875.800.575.912.250.859.797.962
Viola|B01.875.800.575.912.250.859.797.962.888
Malvales|B01.875.800.575.912.250.859.821
Malvaceae|B01.875.800.575.912.250.859.821.500
Abelmoschus|B01.875.800.575.912.250.859.821.500.100
Adansonia|B01.875.800.575.912.250.859.821.500.108
Althaea|B01.875.800.575.912.250.859.821.500.115
Bombax|B01.875.800.575.912.250.859.821.500.148
Cacao|B01.875.800.575.912.250.859.821.500.164
Ceiba|B01.875.800.575.912.250.859.821.500.180
Cola|B01.875.800.575.912.250.859.821.500.212
Corchorus|B01.875.800.575.912.250.859.821.500.228
Gossypium|B01.875.800.575.912.250.859.821.500.244
Grewia|B01.875.800.575.912.250.859.821.500.266
Hibiscus|B01.875.800.575.912.250.859.821.500.288
Malva|B01.875.800.575.912.250.859.821.500.555
Sida Plant|B01.875.800.575.912.250.859.821.500.777
Sterculia|B01.875.800.575.912.250.859.821.500.888
Tilia|B01.875.800.575.912.250.859.821.500.944
Triumfetta|B01.875.800.575.912.250.859.821.500.972
Myrtales|B01.875.800.575.912.250.859.833
Lythraceae|B01.875.800.575.912.250.859.833.500
Cuphea|B01.875.800.575.912.250.859.833.500.249
Lagerstroemia|B01.875.800.575.912.250.859.833.500.374
Lawsonia Plant|B01.875.800.575.912.250.859.833.500.437
Lythrum|B01.875.800.575.912.250.859.833.500.500
Pomegranate|B01.875.800.575.912.250.859.833.500.625
Woodfordia|B01.875.800.575.912.250.859.833.500.750
Polygalaceae|B01.875.800.575.912.250.859.844
Polygala|B01.875.800.575.912.250.859.844.500
Securidaca|B01.875.800.575.912.250.859.844.750
Resedaceae|B01.875.800.575.912.250.859.891
Rosales|B01.875.800.575.912.250.859.937
Cannabaceae|B01.875.800.575.912.250.859.937.055
Cannabis|B01.875.800.575.912.250.859.937.055.500
Humulus|B01.875.800.575.912.250.859.937.055.750
Trema|B01.875.800.575.912.250.859.937.055.875
Chrysobalanaceae|B01.875.800.575.912.250.859.937.110
Connaraceae|B01.875.800.575.912.250.859.937.222
Crassulaceae|B01.875.800.575.912.250.859.937.249
Kalanchoe|B01.875.800.575.912.250.859.937.249.249
Rhodiola|B01.875.800.575.912.250.859.937.249.500
Sedum|B01.875.800.575.912.250.859.937.249.750
Elaeagnaceae|B01.875.800.575.912.250.859.937.280
Hippophae|B01.875.800.575.912.250.859.937.280.500
Grossulariaceae|B01.875.800.575.912.250.859.937.311
Ribes|B01.875.800.575.912.250.859.937.311.500
Hydrangeaceae|B01.875.800.575.912.250.859.937.374
Hydrangea|B01.875.800.575.912.250.859.937.374.500
Moraceae|B01.875.800.575.912.250.859.937.406
Antiaris|B01.875.800.575.912.250.859.937.406.055
Artocarpus|B01.875.800.575.912.250.859.937.406.088
Broussonetia|B01.875.800.575.912.250.859.937.406.144
Ficus|B01.875.800.575.912.250.859.937.406.500
Maclura|B01.875.800.575.912.250.859.937.406.599
Morus|B01.875.800.575.912.250.859.937.406.633
Rhamnaceae|B01.875.800.575.912.250.859.937.437
Ceanothus|B01.875.800.575.912.250.859.937.437.111
Colubrina|B01.875.800.575.912.250.859.937.437.133
Rhamnus|B01.875.800.575.912.250.859.937.437.316
Karwinskia|B01.875.800.575.912.250.859.937.437.408
Ziziphus|B01.875.800.575.912.250.859.937.437.833
Rosaceae|B01.875.800.575.912.250.859.937.500
Agrimonia|B01.875.800.575.912.250.859.937.500.033
Alchemilla|B01.875.800.575.912.250.859.937.500.055
Crataegus|B01.875.800.575.912.250.859.937.500.177
Eriobotrya|B01.875.800.575.912.250.859.937.500.222
Filipendula|B01.875.800.575.912.250.859.937.500.244
Fragaria|B01.875.800.575.912.250.859.937.500.266
Geum|B01.875.800.575.912.250.859.937.500.288
Malus|B01.875.800.575.912.250.859.937.500.444
Photinia|B01.875.800.575.912.250.859.937.500.522
Potentilla|B01.875.800.575.912.250.859.937.500.601
Prunus|B01.875.800.575.912.250.859.937.500.625
Prunus africana|B01.875.800.575.912.250.859.937.500.625.250
Prunus armeniaca|B01.875.800.575.912.250.859.937.500.625.375
Prunus avium|B01.875.800.575.912.250.859.937.500.625.400
Prunus domestica|B01.875.800.575.912.250.859.937.500.625.450
Prunus dulcis|B01.875.800.575.912.250.859.937.500.625.500
Prunus persica|B01.875.800.575.912.250.859.937.500.625.750
Pyracantha|B01.875.800.575.912.250.859.937.500.693
Pyrus|B01.875.800.575.912.250.859.937.500.699
Quillaja|B01.875.800.575.912.250.859.937.500.724
Rosa|B01.875.800.575.912.250.859.937.500.750
Rubus|B01.875.800.575.912.250.859.937.500.764
Sanguisorba|B01.875.800.575.912.250.859.937.500.779
Sorbus|B01.875.800.575.912.250.859.937.500.793
Spiraea|B01.875.800.575.912.250.859.937.500.808
Saxifragaceae|B01.875.800.575.912.250.859.937.750
Heuchera|B01.875.800.575.912.250.859.937.750.500
Ulmaceae|B01.875.800.575.912.250.859.937.844
Ulmus|B01.875.800.575.912.250.859.937.844.888
Urticaceae|B01.875.800.575.912.250.859.937.937
Boehmeria|B01.875.800.575.912.250.859.937.937.077
Cecropia Plant|B01.875.800.575.912.250.859.937.937.427
Parietaria|B01.875.800.575.912.250.859.937.937.777
Urtica dioica|B01.875.800.575.912.250.859.937.937.888
Rutaceae|B01.875.800.575.912.250.875
Aegle|B01.875.800.575.912.250.875.077
Casimiroa|B01.875.800.575.912.250.875.155
Citrus|B01.875.800.575.912.250.875.177
Citrus aurantiifolia|B01.875.800.575.912.250.875.177.077
Citrus paradisi|B01.875.800.575.912.250.875.177.538
Citrus sinensis|B01.875.800.575.912.250.875.177.769
Clausena|B01.875.800.575.912.250.875.216
Dictamnus|B01.875.800.575.912.250.875.255
Evodia|B01.875.800.575.912.250.875.333
Murraya|B01.875.800.575.912.250.875.666
Phellodendron|B01.875.800.575.912.250.875.717
